,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
M1,0.8524590163934426,0.9672131147540983,0.8524590163934426,0.8852459016393442,0.9016393442622951
M2,0.9508196721311475,1.0,1.0,1.0,0.9836065573770492
M3,0.9508196721311475,0.9180327868852459,0.9836065573770492,0.9836065573770492,0.9508196721311475
M4,0.9508196721311475,0.9836065573770492,0.9344262295081968,0.9672131147540983,0.9180327868852459
M5,0.819672131147541,0.9016393442622951,0.819672131147541,0.9016393442622951,0.8524590163934426
